38,2,2,9,2,2,2,1,1,40,1,1
53,2,3,7,1,2,1,2,1,40,1,1
28,2,1,13,1,3,3,2,2,40,2,1
37,2,4,14,1,1,3,1,2,40,1,1
49,2,5,5,3,4,2,2,2,16,3,1
52,1,2,9,1,1,1,1,1,45,1,2
31,2,4,14,4,3,2,1,2,50,1,2
42,2,1,13,1,1,1,1,1,40,1,2
37,2,6,10,1,1,1,2,1,80,1,2
30,3,1,13,1,3,1,3,1,40,4,2
23,2,1,13,4,5,4,1,2,30,1,1
32,2,7,12,4,6,2,2,1,50,1,1
40,2,8,11,1,7,1,3,1,40,15,2
34,2,9,4,1,8,1,4,1,45,6,1
25,1,2,9,4,9,4,1,1,35,1,1
32,2,2,9,4,10,5,1,1,40,1,1
38,2,3,7,1,6,1,1,1,50,1,1
43,1,4,14,2,1,5,1,2,45,1,2
40,2,10,16,1,3,1,1,1,60,1,2
54,2,2,9,5,4,5,2,2,20,1,1
35,4,5,5,1,9,1,2,1,40,1,1
43,2,3,7,1,8,1,1,1,40,1,1
59,2,2,9,2,11,5,1,2,40,1,1
56,5,1,13,1,11,1,1,1,40,1,2
19,2,2,9,4,7,4,1,1,40,1,1
39,2,2,9,2,1,2,1,1,80,1,1
49,2,2,9,1,7,1,1,1,40,1,1
23,5,7,12,4,12,2,1,1,52,1,1
20,2,6,10,4,6,4,2,1,44,1,1
45,2,1,13,2,1,4,1,1,40,1,1
30,4,6,10,1,5,4,1,1,40,1,1
22,3,6,10,1,4,1,2,1,15,1,1
48,2,3,7,4,10,5,1,1,40,7,1
21,2,6,10,4,10,4,1,1,40,1,1
19,2,2,9,6,5,3,1,2,25,1,1
31,2,6,10,1,6,1,1,1,38,15,2
48,1,7,12,1,3,1,1,1,40,1,1
31,2,5,5,1,10,1,1,1,43,1,1
53,1,1,13,1,3,1,1,1,40,1,1
24,2,1,13,1,11,1,1,1,50,1,1
49,2,2,9,5,5,5,1,2,40,1,1
25,2,2,9,4,2,2,1,1,35,1,1
57,4,1,13,1,3,1,2,1,40,1,2
53,2,2,9,1,10,1,1,1,38,1,1
44,2,4,14,2,1,5,1,2,40,1,1
41,3,8,11,1,7,1,1,1,40,1,1
29,2,8,11,4,3,2,1,1,43,1,1
25,2,6,10,1,1,3,5,2,40,1,1
18,2,2,9,4,4,4,1,2,30,15,1
47,2,11,15,1,3,3,1,2,60,8,2
50,4,1,13,2,1,2,1,1,55,1,2
47,6,2,9,2,1,2,1,1,60,1,1
43,2,6,10,1,11,1,1,1,40,1,2
46,2,12,3,1,10,1,1,1,40,6,1
35,2,8,11,1,4,1,1,1,40,7,1
41,2,2,9,1,5,1,1,1,48,1,1
30,2,2,9,1,10,1,1,1,40,1,1
