50,1,83311,1,13,1,1,1,1,1,0,0,13,1,1
38,2,215646,2,9,2,2,2,1,1,0,0,40,1,1
53,2,234721,3,7,1,2,1,2,1,0,0,40,1,1
28,2,338409,1,13,1,3,3,2,2,0,0,40,2,1
37,2,284582,4,14,1,1,3,1,2,0,0,40,1,1
49,2,160187,5,5,3,4,2,2,2,0,0,16,3,1
52,1,209642,2,9,1,1,1,1,1,0,0,45,1,2
31,2,45781,4,14,4,3,2,1,2,14084,0,50,1,2
42,2,159449,1,13,1,1,1,1,1,5178,0,40,1,2
37,2,280464,6,10,1,1,1,2,1,0,0,80,1,2
30,3,141297,1,13,1,3,1,3,1,0,0,40,4,2
23,2,122272,1,13,4,5,4,1,2,0,0,30,1,1
32,2,205019,7,12,4,6,2,2,1,0,0,50,1,1
40,2,121772,8,11,1,7,1,3,1,0,0,40,15,2
34,2,245487,9,4,1,8,1,4,1,0,0,45,6,1
25,1,176756,2,9,4,9,4,1,1,0,0,35,1,1
32,2,186824,2,9,4,10,5,1,1,0,0,40,1,1
38,2,28887,3,7,1,6,1,1,1,0,0,50,1,1
43,1,292175,4,14,2,1,5,1,2,0,0,45,1,2
40,2,193524,10,16,1,3,1,1,1,0,0,60,1,2
54,2,302146,2,9,5,4,5,2,2,0,0,20,1,1
35,4,76845,5,5,1,9,1,2,1,0,0,40,1,1
43,2,117037,3,7,1,8,1,1,1,0,2042,40,1,1
59,2,109015,2,9,2,11,5,1,2,0,0,40,1,1
56,5,216851,1,13,1,11,1,1,1,0,0,40,1,2
19,2,168294,2,9,4,7,4,1,1,0,0,40,1,1
39,2,367260,2,9,2,1,2,1,1,0,0,80,1,1
49,2,193366,2,9,1,7,1,1,1,0,0,40,1,1
23,5,190709,7,12,4,12,2,1,1,0,0,52,1,1
20,2,266015,6,10,4,6,4,2,1,0,0,44,1,1
45,2,386940,1,13,2,1,4,1,1,0,1408,40,1,1
30,4,59951,6,10,1,5,4,1,1,0,0,40,1,1
22,3,311512,6,10,1,4,1,2,1,0,0,15,1,1
48,2,242406,3,7,4,10,5,1,1,0,0,40,7,1
21,2,197200,6,10,4,10,4,1,1,0,0,40,1,1
19,2,544091,2,9,6,5,3,1,2,0,0,25,1,1
31,2,84154,6,10,1,6,1,1,1,0,0,38,15,2
48,1,265477,7,12,1,3,1,1,1,0,0,40,1,1
31,2,507875,5,5,1,10,1,1,1,0,0,43,1,1
53,1,88506,1,13,1,3,1,1,1,0,0,40,1,1
24,2,172987,1,13,1,11,1,1,1,0,0,50,1,1
49,2,94638,2,9,5,5,5,1,2,0,0,40,1,1
25,2,289980,2,9,4,2,2,1,1,0,0,35,1,1
57,4,337895,1,13,1,3,1,2,1,0,0,40,1,2
53,2,144361,2,9,1,10,1,1,1,0,0,38,1,1
44,2,128354,4,14,2,1,5,1,2,0,0,40,1,1
41,3,101603,8,11,1,7,1,1,1,0,0,40,1,1
29,2,271466,8,11,4,3,2,1,1,0,0,43,1,1
25,2,32275,6,10,1,1,3,5,2,0,0,40,1,1
18,2,226956,2,9,4,4,4,1,2,0,0,30,15,1
47,2,51835,11,15,1,3,3,1,2,0,1902,60,8,2
50,4,251585,1,13,2,1,2,1,1,0,0,55,1,2
47,6,109832,2,9,2,1,2,1,1,0,0,60,1,1
43,2,237993,6,10,1,11,1,1,1,0,0,40,1,2
46,2,216666,12,3,1,10,1,1,1,0,0,40,6,1
35,2,56352,8,11,1,4,1,1,1,0,0,40,7,1
41,2,147372,2,9,1,5,1,1,1,0,0,48,1,1
30,2,188146,2,9,1,10,1,1,1,5013,0,40,1,1
30,2,59496,1,13,1,6,1,1,1,2407,0,40,1,1
48,2,149640,2,9,1,8,1,1,1,0,0,40,1,1
42,2,116632,10,16,1,3,1,1,1,0,0,45,1,2
29,2,105598,6,10,2,11,2,1,1,0,0,58,1,1
36,2,155537,2,9,1,7,1,1,1,0,0,40,1,1
28,2,183175,6,10,2,5,2,1,2,0,0,40,1,1
53,2,169846,2,9,1,5,3,1,2,0,0,40,1,2
49,6,191681,6,10,1,1,1,1,1,0,0,50,1,2
19,2,101509,6,10,4,3,4,1,1,0,0,32,1,1
31,2,309974,1,13,5,6,4,2,2,0,0,40,1,1
29,1,162298,1,13,1,6,1,1,1,0,0,70,1,2
23,2,211678,6,10,4,10,2,1,1,0,0,40,1,1
79,2,124744,6,10,1,3,6,1,1,0,0,20,1,1
27,2,213921,2,9,4,4,4,1,1,0,0,40,6,1
40,2,32214,7,12,1,5,1,1,1,0,0,40,1,1
18,2,309634,3,7,4,4,4,1,2,0,0,22,1,1
31,5,125927,9,4,1,9,1,1,1,0,0,40,1,1
18,2,446839,2,9,4,6,2,1,1,0,0,30,1,1
52,2,276515,1,13,1,4,1,1,1,0,0,40,2,1
